Year,Mo,Dy,Hr,Mn,Sec,Country,Location Name,Mag,Deaths,Missing,Injuries,Damage ($Mil),Houses Destroyed,Houses Damaged,Total Damage ($Mil),,,,,
1984,9,18,17,2,44.3,JAPAN,HONSHU ISLAND,6.9,,,,,,,,,,,,
1987,2,6,13,16,17.8,JAPAN,HONSHU,6.3,,,,,,,,,,,,
1987,3,18,3,36,30.3,JAPAN,KYUSHU,6.7,2,,5,,,,,,,,,
1987,3,24,12,49,47,JAPAN,HONSHU ISLAND,5.1,,,,,,,,,,,,
1987,12,17,2,8,19.9,JAPAN,CHIBA PERFECTURE,6,2,,66,5,,,5,,,,,
1989,7,9,2,9,9.1,JAPAN,HONSHU,5,,,,,,,,,,,,
1989,10,29,5,25,38.2,JAPAN,HONSHU ISLAND,6.6,,,,,,,,,,,,
1989,11,1,18,25,34.9,JAPAN,AOMORI PREFECTURE,7.4,,,,,,,,,,,,
1990,2,20,6,53,39.8,JAPAN,HONSHU,6.4,,,,,,,,,,,,
1990,9,23,21,13,7.4,JAPAN,BONIN ISLANDS,6.5,,,,,,,,,,,,
1992,2,1,19,4,4.5,JAPAN,HONSHU,5.6,,,37,,,,,,,,,
1992,7,18,8,36,58.7,JAPAN,HONSHU ISLAND,7,,,,,,,,,,,,
1992,8,11,15,14,55.1,JAPAN,HONSHU,6.3,,,,,,,,,,,,
1993,1,15,11,6,5.9,JAPAN,"HOKKADIO, KUSHIRO, HACHINOHE, HONSHU",7.6,2,,,358,,,358,,,,,
1993,2,7,13,27,42,JAPAN,"HONSHU, ISHIKAWA, TOYAMA, NIIGATA",6.3,,,,,,,,,,,,
1993,7,12,13,17,11.9,JAPAN,HOKKAIDO,7.7,23,,233,1207,,,1207,,,,,
1993,8,7,19,42,41.9,JAPAN,KOBE,6.3,,,,,,,,,,,,
1994,4,8,1,10,40.8,JAPAN,HONSHU ISLAND,6.4,,,,,,,,,,,,
1994,12,28,12,19,23,JAPAN,HONSHU,7.8,3,,200,170.4,,,170.4,,,,,
1995,1,16,20,46,53.6,JAPAN,"HONSHU, KOBE, AWAJI-SHIMA, NISHINOMIYA",6.9,6434,,43792,100000,186175,274182,100000,,,,,
1995,4,1,3,49,33.5,JAPAN,NIIGATA PREFECTURE,5.4,,,,,,,,,,,,
1995,10,18,10,37,26.3,JAPAN,RYUKU ISLANDS,7.1,,,1,,,,,,,,,
1995,10,19,2,41,36.1,JAPAN,RYUKU ISLANDS,6.8,,,,,,,,,,,,
1996,9,4,18,16,1.9,JAPAN,HONSHU ISLAND,5.7,,,,,,,,,,,,
1996,10,18,10,50,20.8,JAPAN,KYUSHU ISLAND,6.6,,,,,,,,,,,,
1996,10,19,14,44,40.7,JAPAN,KYUSHU ISLAND,6.7,,,,,,,,,,,,
1996,12,2,22,17,59.2,JAPAN,KYUSHU,6.7,,,,,,,,,,,,
1997,3,26,8,31,47.1,JAPAN,"KYUSHU, KAGOSHIMA",6.1,,,,,,,,,,,,
1997,9,30,6,27,24.7,JAPAN,HONSHU,6.2,,,,,,,,,,,,
1998,5,30,18,18,15,JAPAN,SANRIKU,6.2,,,,,,,,,,,,
2000,3,28,11,0,22.5,JAPAN,VOLCANO ISLANDS,7.6,,,,,,,,,,,,
2000,7,1,7,1,55.5,JAPAN,KOZU-SHIMA,6.1,1,,,,,,,,,,,
2000,7,15,1,30,30.5,JAPAN,NII-JIMA,6.1,,,10,,,20,,,,,,
2000,7,30,12,25,45.5,JAPAN,HONSHU,6.5,,,1,,,,,,,,,
2000,10,6,4,30,19.1,JAPAN,OKAYAMA,6.7,,,130,150,104,2230,150,,,,,
2001,3,24,6,27,53.5,JAPAN,"HIROSHIMA, OKAYAMA, HONSHU, KAGAMA",6.8,2,,161,500,,3700,500,,,,,
2002,3,26,3,45,48.7,JAPAN,RYUKYU ISLANDS,6.4,,,,,,,,,,,,
2003,5,26,9,24,33.4,JAPAN,"IWATE, MIYAGI, YAMAGATA, AKITA",7,,,143,233,,720,233,,,,,
2003,7,25,15,13,7.7,JAPAN,"MIYAGI, IWATE",5.5,,,569,411,,1025,411,,,,,
2003,9,20,3,54,50.7,JAPAN,HONSHU,5.7,,,7,,,,,,,,,
2003,9,25,19,50,6.3,JAPAN,HOKKAIDO,8.3,,,849,90,,,90,,,,,
2003,10,15,7,30,35.9,JAPAN,ATSUGI,5.2,,,,,,,,,,,,
2003,10,31,1,6,28.2,JAPAN,HONSHU,7,,,,,,,,,,,,
2004,9,5,10,7,7.8,JAPAN,KYOTO,7.2,,,4,,,,,,,,,
2004,9,5,14,57,18.6,JAPAN,"KYOTO, WAKAYAMA, SAKAI",7.4,,,40,,,,,,,,,
2004,10,23,8,56,0.8,JAPAN,NIIGATA PREFECTURE,6.6,40,,3183,28000,6000,,28000,,,,,
2004,10,27,1,40,50.2,JAPAN,NIIGATA PREFECTURE,5.9,,,5,,1,,,,,,,
2004,11,8,2,15,58.8,JAPAN,NIIGATA PREFECTURE,5.5,,,8,,,,,,,,,
2004,11,28,18,32,14.1,JAPAN,HOKKAIDO,7,,,24,,,,,,,,,
2004,12,6,14,15,11.8,JAPAN,HOKKAIDO,6.8,,,4,,,,,,,,,
2004,12,14,5,56,10,JAPAN,HOKKAIDO,5.8,,,3,,,,,,,,,
2005,1,19,6,11,36.4,JAPAN,HONSHU,6.6,,,,,,,,,,,,
2005,3,20,1,53,41.8,JAPAN,FUKUOKA,6.6,1,,500,,65,,,,,,,
2005,7,23,7,34,56.7,JAPAN,HONSHU,5.9,,,27,,1,,,,,,,
2005,8,16,2,46,28.4,JAPAN,HONSHU,7.2,,,56,,1,,,,,,,
2005,11,14,21,38,51.4,JAPAN,HONSHU,7,,,,,,,,,,,,
2006,1,1,7,11,57,JAPAN,HONSHU,5.6,,,,,,,,,,,,
2006,6,11,20,1,26.3,JAPAN,KYUSHU,6.3,,,8,,,,,,,,,
2006,10,23,21,17,19,JAPAN,IZU ISLANDS,6.4,,,,,,,,,,,,
2007,3,25,0,41,57.8,JAPAN,HONSHU,6.7,1,,359,,13556,,,,,,,
2007,4,15,3,19,30.3,JAPAN,HONSHU,4.6,,,12,,63,,,,,,,
2007,7,16,1,13,22,JAPAN,HONSHU,6.6,9,,1088,12500,,875,12500,,,,,
2007,9,28,13,38,57.8,JAPAN,VOLCANO ISLANDS,7.5,,,,,,,,,,,,
2008,5,7,16,45,20.2,JAPAN,HONSHU,6.8,,,6,,,,,,,,,
2008,6,13,23,43,45.3,JAPAN,HONSHU,6.9,23,,357,,,614,,,,,,
2008,7,19,2,39,28.7,JAPAN,HONSHU ISLAND,6.9,,,,,,,,,,,,
2008,7,23,15,26,19.9,JAPAN,HONSHU,6.8,1,,200,,90,90,,,,,,
2008,9,11,0,20,50.9,JAPAN,HOKKAIDO,6.8,,,,,,,,,,,,
2009,8,10,20,7,9.1,JAPAN,HONSHU,6.4,1,,123,,,5192,,,,,,
2009,12,17,23,45,36.4,JAPAN,HONSHU,4.9,,,7,,,,,,,,,
2010,2,26,20,31,26.9,JAPAN,OKINAWA,7,,,2,,,,,,,,,
2010,12,21,17,19,40.6,JAPAN,BONIN ISLANDS,7.4,,,,,,,,,,,,
2011,3,9,2,45,20.3,JAPAN,HONSHU,7.5,,,,,,,,,,,,
2011,3,11,5,46,24.1,JAPAN,HONSHU,9.1,1475,,6157,4401.709,2473,5618,220136.6,,,,,
2011,3,11,6,15,40.2,JAPAN,HONSHU,7.9,,,,,,,,,,,,
2011,3,11,6,25,50.3,JAPAN,HONSHU,7.6,,,,,,,,,,,,
2011,4,7,14,32,43.2,JAPAN,HONSHU,7.1,3,,132,,,,,,,,,
2011,4,11,8,16,12.7,JAPAN,HONSHU,6.6,7,,,,3,,,,,,,
2011,7,10,0,57,10.8,JAPAN,HONSHU,7,,,,,,,,,,,,
